,name,quantity,price(Dollar),distributor,description,link,
,Seeed Studio XIAO ESP32S3,1,12,ROBU.IN,main brain of this project,https://robu.in/product/seeed-studio-xiao-esp32s3-2-4ghz-wifi-ble-5-0/,
,DFRobot Gravity Lightning Distance Sensor,1,25,ROBU.IN,sence the lightning strike,https://robu.in/product/dfrobot-gravity-lightning-distance-sensor/,
,Waveshare 1.54inch E-Ink Display Module,1,20,AMAZON.IN,for visuale information,https://www.amazon.in/Waveshare-1-54inch-Display-Three-Color-Resolution/dp/B0BRBLWT7H,
,3.7 V 450 mAh 1S LiPo,1,3.13,ROBU.IN,for power this project,https://robu.in/product/450mah-pcm-protected-micro-li-po-battery/,
,lipo charger with usb c,1,3,ROBU.IN,for charge the battery,https://robu.in/product/lipo-charger-with-usc-c-type-jack/,
,CL7525A-CLDZ passive buzzer,1,1,ROBU.IN,for warning,https://robu.in/product/1-month-warranty-1241/,
,BC547 SMD,1,1,ROBU.IN,for switchingon and of,https://robu.in/product/bc847-smd-transistor-pack-of-20/,
,0805 Red SMD LED,1,1,ROBU.IN,for warning,https://robu.in/product/0805-surface-mount-led-red-50-pcs/,
,330 ohm smd resistor,1,1,ROBU.IN,for limiting the current,https://robu.in/product/rc0603jr-07330rl-yageo-smd-chip-resistor-330-ohm-%c2%b1-5-125-mw-0603-1608-metric-thick-film-general-purpose-pack-of-10/,
,1k smd resistor,1,1,ROBU.IN,for limiting the current,https://robu.in/product/0805w8f1101t5e-uniohm-royal-ohm-125mw-thick-film-resistors-150v-%c2%b1100ppm-%e2%84%83%c2%b11-1-1k%cf%89-0805-chip-resistor-surface-mount-rohs/,
,smd slide switch,1,1,ROBU.IN,for on and of the project,https://robu.in/product/1-month-warranty-256/,
,PCB,1,4,JLCPCB,for mount all components,https://cart.jlcpcb.com/shopcart/cart/,
,delivery charger,1,12,,,,
,total,,85,,,,
